Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,Western,Film-Noir
13,0,3,23,3,13,27,18,17,14,1,10,5,5,1,0,1,2
8,1,2,8,2,2,8,7,7,9,1,0,4,1,2,0,1,0
16,5,8,35,7,27,35,19,9,18,3,3,6,7,5,1,5,0
32,24,23,28,16,10,35,28,25,23,13,8,21,1,16,0,1,2
23,8,18,41,12,22,50,23,13,15,3,3,11,3,7,0,6,0
33,12,9,88,20,60,130,39,52,56,12,20,20,13,3,2,2,2
72,5,14,211,22,89,171,125,71,116,17,27,44,21,7,3,12,2
34,13,32,44,17,25,42,31,16,29,5,4,15,3,12,0,3,0
20,4,3,23,3,8,12,22,4,17,3,1,9,0,1,0,0,0
99,31,54,221,45,69,121,106,51,85,16,19,75,14,27,1,3,0
13,4,4,12,3,6,15,18,12,18,2,3,7,3,3,0,3,0
10,0,3,35,7,29,107,8,20,22,6,8,10,5,7,7,1,0
13,4,4,8,5,4,8,22,2,15,3,2,18,0,2,0,0,0
4,4,5,5,0,1,10,7,3,4,2,2,9,4,0,0,0,0
80,53,42,121,44,33,126,81,45,57,16,20,50,11,15,14,6,2
71,17,30,164,40,68,120,91,52,87,52,23,62,11,14,2,9,3
39,14,13,35,11,18,64,73,36,51,6,12,27,12,3,3,2,0
1,0,0,6,0,6,10,4,2,3,1,1,2,1,2,0,0,1
6,3,5,13,3,6,15,7,8,14,1,3,4,3,2,0,1,0
4,1,2,9,4,5,12,10,10,9,0,2,3,2,1,0,0,0
12,1,2,16,3,4,17,24,13,21,3,2,9,3,1,0,0,0
135,33,43,204,50,100,173,178,69,128,17,34,95,34,28,1,19,13
17,8,11,47,11,30,49,26,17,32,3,6,10,5,9,0,3,0
22,3,3,24,8,20,59,34,18,40,5,18,13,25,0,2,0,6
6,2,5,2,2,5,15,3,6,6,0,2,0,3,2,0,0,0
5,0,0,5,4,4,18,11,13,15,5,5,9,3,0,0,4,0
135,14,24,91,71,46,144,167,63,115,21,43,115,19,6,0,5,1
89,33,30,110,38,33,95,108,56,69,12,21,58,16,10,7,1,5
103,33,49,215,67,106,237,123,94,139,55,56,60,27,28,6,9,3
7,0,0,5,4,3,25,15,11,12,0,6,9,6,0,0,0,0
69,16,19,147,40,59,150,103,58,81,26,25,47,14,6,0,10,4
14,5,5,17,6,4,13,21,10,9,0,2,9,3,0,0,2,0
291,80,107,529,141,288,489,400,185,332,103,82,202,49,54,33,22,3
12,0,0,9,1,4,19,18,7,13,6,5,17,2,0,0,4,1
8,1,4,18,4,14,51,4,7,3,1,2,6,5,0,2,1,0
16,1,5,8,4,7,9,21,5,15,0,2,11,1,1,0,0,0
10,0,0,9,0,8,20,17,8,14,3,4,10,4,0,0,1,0
62,25,25,124,25,37,71,68,27,34,5,12,37,5,5,0,2,0
11,0,0,27,6,28,159,14,36,49,11,16,8,11,1,1,5,4
26,5,5,8,9,11,25,35,10,25,4,14,29,4,3,0,2,0
29,9,13,39,16,11,52,34,36,39,15,15,25,9,4,1,5,0
14,1,1,4,5,3,9,19,5,8,0,4,11,0,0,0,0,0
25,2,3,28,3,6,12,34,12,25,4,3,19,3,1,0,1,0
20,0,0,14,4,6,23,40,12,23,6,2,14,6,4,6,0,1
33,1,3,11,13,4,70,77,43,118,47,36,55,6,0,0,0,1
11,2,2,8,1,3,8,13,7,12,0,2,6,3,2,0,0,0
74,13,23,113,26,34,48,115,52,66,14,14,38,7,7,1,8,1
33,10,9,23,15,20,73,41,14,28,10,12,25,24,4,1,1,0
25,2,17,117,16,93,165,32,33,47,11,15,14,17,17,4,8,3
1,0,1,6,1,6,30,1,1,1,0,3,2,3,0,0,0,0
28,12,11,14,18,17,27,31,9,18,2,6,17,6,2,0,1,0
5,3,5,9,5,2,11,3,0,3,2,1,7,0,1,0,0,0
7,0,2,12,5,3,33,17,17,21,3,10,7,4,0,0,2,0
87,90,99,478,57,110,106,57,44,21,34,15,33,13,19,4,4,0
4,1,2,22,2,18,33,3,5,6,1,1,4,1,3,4,0,0
137,35,35,201,65,74,201,205,100,195,95,46,119,21,21,8,18,2
8,3,8,9,4,4,10,4,1,3,3,1,3,2,3,0,0,0
56,4,17,36,19,23,26,46,8,22,3,2,22,4,1,0,4,0
18,2,6,22,6,10,21,20,11,21,2,3,9,4,2,0,3,0
46,5,5,60,11,29,70,59,35,46,6,12,58,4,3,2,0,3
27,2,5,20,8,11,32,37,14,27,4,7,16,5,2,0,1,1
14,2,3,9,2,5,12,22,6,11,1,0,7,4,0,0,0,0
35,20,20,35,19,16,36,28,6,16,11,5,25,3,7,0,0,0
9,1,1,23,0,10,18,21,14,21,3,3,6,2,1,0,3,0
17,2,6,85,10,79,74,26,12,19,5,5,7,6,12,0,5,0
9,3,2,25,3,6,24,15,7,14,5,5,7,0,2,0,0,0
14,2,4,21,0,14,19,24,14,24,2,3,6,3,2,0,5,0
112,55,89,156,73,55,174,86,63,63,15,26,39,12,27,2,8,4
78,42,56,181,46,94,74,52,16,27,4,8,31,8,41,0,3,1
140,108,62,245,86,124,362,166,133,147,30,70,94,44,14,22,7,6
25,2,5,6,20,1,9,19,2,7,2,4,6,0,0,0,0,0
13,1,3,13,4,5,17,11,7,9,1,1,5,3,0,0,3,0
10,2,3,28,2,39,47,10,5,12,1,4,13,2,1,0,1,0
18,6,11,50,9,24,64,28,22,37,5,5,13,6,6,1,6,1
5,0,2,20,0,8,29,15,13,15,2,4,5,6,0,1,0,0
112,61,65,463,73,118,138,133,85,100,37,35,51,5,28,19,4,0
21,4,4,14,7,9,25,27,14,20,2,5,18,5,1,0,1,0
5,3,8,62,9,85,92,8,16,32,9,20,4,5,5,0,0,2
23,5,6,11,13,5,7,14,3,5,2,2,10,0,1,0,0,0
35,13,14,51,15,10,26,44,14,33,20,11,19,7,9,0,14,1
22,3,5,33,9,31,34,30,11,22,8,5,13,8,7,0,1,0
34,14,25,59,18,41,72,45,25,47,5,6,16,9,13,0,5,0
3,0,0,6,0,2,15,4,9,6,1,2,1,2,0,0,1,0
71,32,26,71,27,18,88,98,48,67,6,11,38,12,1,4,4,1
9,2,4,10,3,6,7,7,2,6,1,2,4,0,3,0,0,0
10,2,2,20,5,17,26,16,10,20,2,2,4,5,1,1,4,0
82,23,19,117,36,26,112,102,59,89,39,27,80,11,4,2,8,1
14,3,2,5,5,3,34,24,19,31,1,10,16,3,0,0,1,0
12,5,5,20,2,7,23,9,11,13,3,6,8,2,0,0,0,1
74,27,19,146,42,59,158,114,55,93,29,25,92,11,6,1,4,3
12,3,5,11,3,5,16,16,10,16,2,1,6,3,3,0,1,0
1,1,2,9,2,4,12,1,1,6,1,4,1,1,1,0,1,1
8,0,0,10,2,10,11,10,7,10,3,9,3,1,3,0,0,3
69,22,18,39,30,24,38,76,14,37,7,11,43,8,9,0,0,1
11,3,4,10,4,3,13,11,7,10,1,0,4,2,2,0,1,0
16,1,0,12,5,6,41,21,23,28,5,10,17,7,0,1,1,1
64,32,45,156,57,114,177,56,58,71,25,30,41,7,27,2,3,4
7,1,1,9,1,4,14,14,12,18,2,3,4,3,1,0,1,0
12,5,5,9,3,6,14,17,8,12,3,2,6,2,4,0,3,0
72,7,18,121,44,35,86,109,51,98,22,24,57,8,9,2,3,1
23,5,10,43,9,18,38,40,18,31,9,5,16,6,4,0,6,0
33,5,8,36,14,28,76,33,20,29,13,11,27,19,5,6,3,5
6,3,3,9,3,5,10,10,3,3,0,1,3,1,0,0,0,0
82,15,14,49,37,16,57,110,34,77,22,23,67,11,4,0,3,0
120,16,47,152,31,114,353,178,127,184,7,44,39,64,13,3,40,5
60,24,24,99,30,26,52,54,30,29,6,9,31,6,8,0,2,1
9,3,4,9,2,6,18,13,9,19,1,2,3,3,3,0,1,0
13,11,11,60,10,41,18,9,2,3,1,2,4,2,3,1,0,0
39,13,17,55,18,40,52,37,19,31,6,8,14,6,8,2,4,0
11,3,3,8,2,3,9,8,7,9,0,1,4,1,2,0,1,0
2,2,7,12,5,12,12,5,6,11,3,5,4,1,0,0,0,0
2,1,1,13,1,7,7,7,3,4,1,0,2,2,1,0,1,0
31,19,13,14,22,13,14,18,2,6,0,3,10,2,5,0,0,0
28,3,5,10,3,1,7,35,3,18,6,2,55,1,0,0,1,0
7,0,1,9,2,5,10,10,4,15,0,3,3,0,1,0,0,0
15,5,14,38,12,9,14,10,2,15,7,1,4,0,4,0,0,0
10,1,1,16,3,7,41,17,22,25,1,8,8,6,1,4,0,1
47,16,23,75,25,52,111,35,15,21,4,4,23,9,9,1,2,1
21,8,8,8,8,3,7,22,5,4,0,2,15,2,0,0,0,0
21,7,10,26,5,4,7,20,7,7,1,0,10,2,1,0,1,0
49,11,22,205,32,101,216,48,70,62,6,36,25,28,20,3,6,12
6,1,4,13,2,2,9,5,3,3,0,2,2,1,0,0,0,0
4,0,1,10,6,4,7,7,5,10,5,1,4,0,0,1,0,0
19,13,10,51,13,52,57,8,6,8,0,1,6,3,5,0,0,0
117,26,52,120,61,54,154,176,68,156,60,36,131,18,21,0,3,2
14,13,15,25,9,12,9,4,3,3,1,1,6,0,7,2,0,0
3,1,1,10,1,14,35,5,9,9,0,1,1,3,1,0,2,0
2,0,1,12,1,7,10,5,2,8,2,5,2,0,0,0,0,1
18,0,2,5,2,4,9,32,3,13,2,0,16,2,0,0,1,0
17,2,3,22,4,15,34,29,17,19,2,3,10,2,1,0,3,0
53,15,15,52,29,28,84,84,52,68,14,20,34,11,3,2,3,3
59,25,32,99,42,26,38,52,29,31,11,5,35,6,16,0,2,1
10,3,5,25,5,15,63,16,25,25,3,17,4,13,2,2,5,6
54,24,46,145,42,81,103,42,23,30,6,6,25,10,50,3,3,0
12,5,10,17,5,12,24,18,7,19,1,1,3,4,5,0,4,0
22,8,11,31,15,8,34,21,18,19,3,8,10,2,8,0,5,0
10,1,2,9,5,1,9,10,3,5,6,1,4,3,1,0,1,0
7,2,4,12,3,7,11,8,3,6,1,0,4,3,2,0,0,0
19,2,5,28,5,14,26,24,9,24,2,5,11,3,2,0,4,0
0,0,2,9,0,9,15,0,0,2,1,0,3,0,3,0,0,0
14,1,1,12,1,4,12,18,7,16,1,1,5,2,1,0,4,0
219,101,145,392,150,233,384,211,124,193,61,63,104,35,75,3,13,9
18,4,5,24,8,19,38,23,16,26,3,6,10,8,2,2,1,0
18,2,4,30,4,9,22,26,14,29,3,4,9,3,1,0,1,0
10,1,1,9,7,2,7,10,2,6,2,0,8,1,0,0,0,1
17,4,10,50,11,27,50,36,20,46,4,5,8,6,6,0,8,0
172,31,29,329,86,162,489,265,191,288,58,81,158,61,20,15,11,11
20,0,1,8,1,3,18,45,9,21,6,1,15,8,1,0,4,0
38,29,7,27,20,6,42,62,12,29,5,13,41,6,0,8,0,0
12,13,15,20,8,21,22,3,5,7,2,3,2,1,12,0,0,0
95,16,37,72,44,41,67,84,17,59,20,15,88,7,17,1,4,3
56,23,9,68,33,29,140,75,63,87,32,27,48,16,4,17,7,8
1,2,4,23,4,17,23,2,1,9,0,9,1,4,14,0,1,3
7,2,2,2,5,2,11,9,9,6,2,2,2,2,0,0,0,0
18,5,6,24,12,18,36,15,17,16,0,11,9,4,1,2,0,1
13,3,5,31,4,22,53,15,14,21,0,7,6,4,0,4,1,1
8,0,0,5,1,3,12,11,5,13,1,2,4,3,0,0,3,0
14,3,1,9,6,7,22,9,8,10,2,2,7,2,0,0,0,0
3,1,1,11,0,8,8,7,3,4,1,1,2,3,3,0,1,1
30,3,6,52,9,25,111,49,42,61,12,20,17,14,3,0,4,2
12,2,2,2,2,0,16,14,5,11,2,4,7,3,1,0,0,0
4,0,0,11,0,6,17,16,12,14,2,2,8,2,0,0,2,0
36,4,5,68,11,52,128,55,40,65,17,33,63,12,1,0,4,4
42,1,3,128,13,86,209,86,85,94,13,32,33,42,2,5,8,4
92,12,25,174,41,96,117,109,47,68,8,13,47,11,16,1,3,3
32,5,9,58,15,34,34,37,12,25,7,5,36,3,3,0,2,1
94,12,16,108,33,80,227,133,58,106,11,36,65,31,9,3,16,6
17,3,4,14,11,2,16,20,10,16,1,3,9,2,0,0,2,0
14,14,13,26,12,7,43,20,23,30,8,11,11,7,0,0,1,3
14,1,3,4,10,4,11,12,2,5,0,3,3,4,2,1,1,0
8,3,4,8,3,8,12,7,2,9,0,3,3,0,3,0,1,0
7,0,1,7,3,2,6,6,1,7,4,0,3,0,0,0,1,0
8,0,0,5,1,3,10,18,6,16,3,4,6,3,0,0,0,0
12,1,1,6,5,4,22,17,9,12,4,6,6,3,0,0,0,0
91,23,28,29,39,8,32,68,6,21,3,6,82,2,0,0,0,0
34,5,6,20,8,8,35,52,29,41,2,14,26,7,4,0,0,1
87,36,30,87,44,24,93,108,47,55,14,19,51,10,6,0,4,1
30,7,10,21,18,11,28,35,8,33,14,8,16,4,1,0,0,0
6,2,3,8,5,8,9,5,1,6,0,2,4,0,2,0,0,0
16,0,1,42,9,27,53,21,20,18,5,9,8,8,0,1,1,1
20,18,18,109,17,39,62,20,22,26,3,9,10,5,21,1,3,9
174,26,75,302,71,74,167,239,87,160,25,32,102,29,25,0,14,3
9,0,0,11,2,3,6,8,3,6,2,4,6,3,2,0,0,1
155,40,45,201,65,59,156,248,123,199,31,52,118,12,14,4,5,8
87,26,29,75,25,22,59,99,34,65,5,10,57,7,8,1,5,0
39,4,7,109,19,54,194,52,80,65,14,40,25,27,6,13,17,18
35,8,10,113,10,43,115,77,67,55,7,15,28,14,5,2,4,3
23,8,10,25,15,17,30,26,12,26,6,8,13,2,3,1,1,1
7,1,3,36,8,29,21,7,3,4,2,1,4,4,0,0,0,0
12,2,2,51,8,14,16,10,6,13,24,7,10,1,2,0,0,0
126,39,70,283,80,88,163,111,77,90,36,37,71,11,35,6,11,0
21,4,3,17,7,15,60,29,23,30,1,9,20,11,2,4,1,1
8,2,2,2,1,2,6,14,4,12,5,2,11,1,0,0,0,0
13,2,5,28,6,13,28,20,14,22,2,1,5,3,1,0,1,0
47,17,24,53,24,28,42,56,17,40,16,8,32,2,10,0,1,0
7,0,0,4,1,4,9,11,7,6,3,0,9,1,0,0,0,0
200,70,117,375,116,153,327,274,131,247,80,63,123,32,47,15,6,1
39,10,11,42,22,18,83,46,41,43,4,16,26,12,4,2,1,1
104,40,89,85,47,20,46,88,22,28,10,8,43,5,20,0,8,0
15,6,10,26,6,18,29,16,8,19,1,3,7,4,6,1,2,0
2,0,0,17,3,3,5,3,3,7,12,3,3,0,1,0,0,0
7,1,1,16,3,8,25,18,14,21,1,9,11,4,0,0,0,0
5,0,3,6,0,4,24,17,16,17,2,4,1,6,0,0,4,1
84,15,17,84,36,39,121,126,72,100,8,25,65,16,4,4,6,2
38,10,29,55,20,24,42,44,12,30,6,4,21,5,8,0,5,0
7,4,1,18,4,20,65,10,13,22,3,9,10,6,4,0,1,0
11,1,2,12,2,4,16,10,9,16,2,2,5,2,1,0,3,0
11,3,6,13,5,6,8,23,9,15,0,1,4,4,3,0,0,0
26,0,1,19,6,15,44,53,18,42,5,4,17,15,0,0,3,1
1,3,3,5,1,3,10,0,4,4,0,1,0,1,0,6,0,0
68,31,26,64,51,47,98,74,24,56,7,25,48,5,5,0,5,3
63,22,25,35,31,22,67,58,30,42,3,19,36,8,11,0,2,1
35,8,7,12,8,2,4,33,3,9,0,2,26,0,0,1,0,0
284,73,70,420,126,115,321,460,192,358,97,89,238,38,22,5,16,4
4,4,4,7,2,7,16,2,3,8,1,2,2,1,3,0,1,0
3,3,3,5,3,3,15,6,8,9,1,2,1,4,0,2,0,0
18,19,15,20,14,5,14,11,1,2,0,2,7,0,4,0,0,0
4,4,0,17,5,9,30,2,5,7,0,5,3,1,2,8,1,1
34,6,8,27,10,18,65,41,32,52,8,19,27,7,2,4,1,2
7,5,10,36,2,7,5,6,5,3,1,1,4,1,5,1,3,0
62,18,21,70,18,30,55,69,22,44,8,6,61,4,1,1,3,0
5,1,1,12,3,5,3,9,6,4,0,1,1,0,2,0,1,0
10,5,3,3,6,4,13,10,4,7,1,2,9,2,0,0,0,0
12,3,5,14,6,9,12,8,2,4,0,1,6,0,1,0,1,0
18,16,7,60,18,29,86,16,37,34,14,15,15,2,4,13,0,2
3,1,1,18,4,4,30,17,19,17,0,9,12,5,1,0,1,0
4,2,2,24,5,20,34,5,10,15,2,2,2,0,2,0,0,1
49,20,22,98,20,88,104,45,24,27,3,10,18,11,12,6,1,2
29,10,14,11,12,9,20,22,1,15,5,6,19,7,9,0,0,0
35,0,6,33,8,26,106,44,18,36,12,6,65,10,3,0,4,0
44,5,8,90,22,19,59,68,38,52,10,9,34,9,9,2,2,1
21,0,2,14,6,7,25,27,4,21,8,6,25,3,1,0,1,0
19,0,0,52,7,21,67,37,26,35,3,10,15,8,2,1,1,4
8,2,5,9,3,5,9,11,5,14,1,2,4,0,2,0,0,0
11,2,3,17,5,10,12,14,6,15,0,3,5,0,2,0,0,0
10,1,1,8,4,5,20,12,7,15,8,4,17,1,2,0,0,1
12,3,3,6,3,2,8,18,5,9,1,1,16,1,0,0,1,0
10,6,10,34,6,14,22,8,8,10,4,1,6,1,5,0,1,0
295,99,158,550,175,132,407,454,224,452,266,109,232,34,49,13,26,7
38,13,15,203,25,100,225,37,74,63,4,25,25,16,7,15,5,9
18,6,11,26,7,5,7,11,0,5,1,1,8,2,3,0,0,0
12,2,4,14,5,3,3,13,1,10,0,1,10,0,1,0,0,0
1,1,1,11,0,3,9,1,3,3,1,3,1,2,1,0,1,0
50,4,3,40,14,9,66,91,47,67,10,20,52,12,2,0,4,1
28,8,22,116,28,80,91,25,24,19,3,10,9,6,11,1,0,0
4,1,2,10,2,7,10,4,3,4,0,1,1,1,2,0,0,0
48,15,18,107,24,33,109,59,61,58,6,19,26,13,10,5,3,0
4,2,5,27,5,10,12,6,7,6,2,0,4,2,0,0,0,0
23,2,5,53,8,20,16,38,15,26,0,2,13,2,2,0,3,0
0,0,1,11,0,7,25,2,7,9,2,4,0,1,1,0,1,1
22,6,9,40,10,23,53,31,26,38,10,8,14,5,3,0,1,1
29,8,15,74,23,34,65,26,22,27,11,12,18,6,8,2,2,1
271,75,156,429,124,167,419,247,120,221,107,74,188,59,55,4,38,6
1,1,1,11,3,6,10,4,3,3,2,0,2,4,3,3,2,0
35,7,11,64,12,48,164,32,47,55,22,27,19,23,11,5,7,10
27,7,7,5,16,2,8,15,2,5,0,3,9,1,0,0,0,0
174,45,69,151,60,48,144,222,68,149,17,29,110,15,16,2,8,0
3,2,3,9,2,2,8,7,5,8,3,1,3,1,1,0,0,1
116,15,56,311,51,62,96,115,76,56,13,14,58,10,17,1,10,3
8,0,1,5,1,4,23,18,20,21,2,7,4,1,0,0,1,1
9,3,1,3,5,4,15,11,6,7,0,3,7,6,0,1,1,0
10,0,0,7,1,8,30,34,27,68,5,14,8,2,0,0,0,2
214,56,36,508,113,162,334,292,132,185,46,53,195,20,13,11,10,4
7,0,1,2,2,1,5,13,2,8,8,2,5,2,0,0,1,0
1,0,0,6,1,8,27,7,8,11,3,4,5,5,0,0,1,1
29,6,11,39,14,30,55,31,21,39,4,7,14,6,3,0,1,0
7,0,0,7,0,6,15,12,10,16,0,4,5,1,0,0,2,0
23,0,1,13,1,4,14,29,2,19,5,3,39,1,0,0,0,0
64,14,24,76,23,55,86,86,28,55,10,9,51,14,14,0,7,0
165,27,35,167,69,71,304,283,150,249,64,66,167,44,11,0,14,4
31,36,30,68,18,26,17,20,8,15,22,3,9,0,6,0,2,0
153,45,94,518,107,181,341,159,140,223,138,72,84,17,48,5,11,5
42,18,25,36,24,23,44,35,22,28,4,8,17,6,8,2,0,0
20,1,4,12,9,18,75,16,18,25,4,14,7,16,1,0,5,8
13,6,6,38,2,15,24,19,11,9,1,3,4,7,2,1,3,0
4,1,1,13,3,9,14,10,1,4,2,1,4,4,1,0,2,0
52,0,2,48,16,23,92,72,30,86,73,32,87,22,5,1,3,5
108,16,27,101,64,35,89,150,57,119,66,30,122,11,9,0,7,4
38,8,13,48,14,28,45,50,18,38,6,8,26,7,6,0,5,0
7,1,3,8,3,8,18,5,1,3,3,0,5,3,5,0,5,0
9,3,6,25,9,7,14,14,9,17,9,5,7,0,5,1,0,1
21,2,2,35,4,22,121,53,72,81,11,24,19,16,1,6,2,5
180,91,68,273,111,105,406,220,136,192,31,72,156,44,28,88,10,15
14,10,8,10,6,10,20,12,7,4,0,2,9,3,5,0,0,0
8,5,3,6,2,1,4,16,2,3,1,1,8,0,0,1,0,0
15,3,8,28,7,16,17,17,8,19,2,3,9,2,3,0,0,0
19,4,7,45,14,22,52,20,19,28,4,9,11,5,2,1,0,2
23,6,11,26,8,18,50,29,16,25,5,6,23,8,4,0,2,0
4,0,0,11,2,4,12,3,5,5,0,0,2,0,1,0,1,0
50,6,12,107,28,39,124,51,55,90,26,29,39,8,11,1,4,9
25,0,0,18,7,18,122,35,40,53,4,17,7,24,1,4,1,2
7,4,5,28,3,8,15,7,14,5,5,4,2,1,1,0,1,0
92,51,60,98,53,35,87,80,47,50,12,18,47,12,28,1,7,1
3,0,0,9,2,0,12,2,12,7,4,3,1,1,1,0,1,2
59,14,24,96,37,40,105,76,44,64,19,20,59,13,14,0,4,0
58,18,16,57,26,25,72,66,41,56,12,12,35,9,6,1,3,1
75,11,12,68,37,38,128,112,54,79,15,19,70,25,7,1,6,4
6,1,2,12,1,4,10,5,2,4,2,0,2,2,0,0,1,0
59,25,22,65,30,40,56,48,16,33,10,15,29,5,9,1,1,0
3,0,0,15,0,6,9,10,7,8,2,1,5,3,0,0,2,0
8,4,3,20,5,15,30,19,18,19,4,7,3,7,2,0,1,1
14,1,5,22,5,14,35,23,13,28,2,6,10,3,2,0,2,0
9,4,3,7,3,2,18,12,11,11,3,5,8,3,0,2,0,0
88,17,19,89,34,47,218,100,66,117,28,42,69,43,3,15,6,5
11,1,1,4,1,2,12,16,8,15,1,1,8,3,1,0,1,0
17,5,8,38,8,8,11,16,7,10,1,1,10,2,1,0,1,0
12,3,8,34,5,9,25,11,8,18,8,4,9,0,0,0,1,0
15,8,3,13,8,7,30,15,21,18,4,7,9,2,0,3,1,1
28,8,7,18,8,14,26,31,7,19,5,10,26,4,2,0,2,1
8,0,1,26,3,23,34,7,2,9,12,5,9,2,2,0,0,0
6,1,0,36,10,28,119,14,39,48,24,28,4,5,1,2,1,6
17,4,6,18,5,12,15,17,4,16,1,4,9,3,3,0,2,0
11,0,0,13,5,8,34,16,21,16,3,9,4,7,1,1,1,0
7,3,5,13,4,11,20,10,8,14,2,0,2,4,3,0,2,0
15,3,4,18,6,8,8,15,4,16,2,2,9,0,2,0,0,0
13,4,6,30,11,29,92,26,35,58,22,19,16,7,3,0,0,1
88,12,12,65,45,35,126,116,52,116,38,38,89,12,3,0,4,2
18,4,8,37,6,16,29,34,22,32,7,5,11,4,3,1,5,0
59,9,12,72,14,42,87,95,44,87,20,22,57,12,5,3,3,1
10,2,4,14,5,7,6,9,3,3,0,1,9,1,2,0,1,0
53,10,10,179,28,72,147,65,45,51,4,13,38,14,12,0,3,2
68,32,49,168,55,104,179,52,54,58,25,27,38,14,41,22,8,2
6,1,1,16,5,29,26,3,1,6,2,4,5,2,2,2,0,0
23,4,9,25,8,19,38,21,7,22,4,4,18,2,3,0,3,0
0,0,1,6,1,5,13,8,6,17,2,7,4,1,0,0,0,1
28,6,6,44,7,16,33,47,17,29,7,4,14,7,6,0,0,1
22,5,4,15,11,7,55,40,45,48,14,18,19,6,3,0,4,3
11,1,1,10,3,6,10,12,5,8,2,1,6,0,0,0,0,0
10,2,3,3,2,2,5,12,3,13,0,3,5,0,2,0,0,0
70,14,21,148,34,45,84,93,47,51,17,18,46,10,5,2,2,0
10,2,1,5,4,1,13,22,10,11,0,3,7,4,0,0,0,1
29,14,27,106,21,57,80,23,11,15,9,7,15,3,11,0,5,1
105,0,4,81,23,52,188,254,110,230,41,47,85,56,8,0,13,6
27,4,5,65,9,13,34,39,24,31,2,11,27,6,12,4,1,0
27,5,4,37,14,18,32,40,26,27,5,9,18,1,0,1,0,2
19,12,5,6,14,6,15,15,5,11,4,5,14,0,2,0,0,1
44,12,21,69,18,45,117,61,45,70,16,19,29,19,12,1,7,4
21,6,17,32,13,20,43,28,18,30,5,8,13,5,4,0,3,0
15,2,2,8,4,4,10,15,8,16,7,1,6,3,2,0,1,0
8,3,4,10,2,9,16,12,6,8,1,4,6,1,2,0,0,0
49,10,13,41,14,22,41,71,24,48,7,12,41,9,1,0,2,2
28,4,12,49,21,14,47,29,7,18,18,8,42,10,10,3,4,1
14,6,6,9,8,1,30,18,18,18,2,5,7,4,1,0,1,0
9,1,2,13,2,7,17,15,9,16,1,1,5,4,1,0,1,0
391,151,163,370,219,88,307,605,206,459,198,102,319,33,49,4,22,3
181,70,92,205,114,90,159,143,43,108,25,30,95,10,33,8,5,0
120,32,45,112,55,55,68,131,37,80,17,13,60,12,10,0,3,0
2,0,0,13,0,9,26,3,3,6,2,4,2,3,0,0,0,0
11,2,4,30,3,12,32,13,13,21,5,4,9,5,0,0,3,0
