user_id,items
21,"[(91542, 4.258253845909481), (6787, 4.199103232371335), (1281, 4.19069069730459), (2542, 4.140389128763022), (3701, 4.132947964405874), (1673, 4.129322644442307), (1242, 4.111890203319753), (1244, 4.085689604288761), (306, 4.082476546215725), (1237, 4.079415497310825)]"
22,"[(2324, 3.8453761977088456), (1090, 3.659066772015673), (1228, 3.6575297536302402), (1221, 3.540045808934594), (1251, 3.5300253285511074), (1198, 3.5174391147688775), (924, 3.495358868036547), (296, 3.480046027191557), (1204, 3.44895663356264), (27773, 3.441199517563625)]"
23,"[(1104, 4.315173969183146), (2324, 4.2784055450566605), (951, 4.236874331301417), (1197, 4.189195546730336), (1242, 4.170594733914776), (1246, 4.151576944917253), (916, 4.14590609311416), (1732, 4.136925633756694), (1276, 4.13595391409246), (922, 4.101796277805811)]"
24,"[(750, 4.4313408956587725), (1204, 4.385189656835922), (922, 4.294651750998281), (904, 4.2606300092140765), (1223, 4.252502665453547), (7153, 4.217264927845635), (4993, 4.20393968450331), (858, 4.193885366421266), (2959, 4.192155306915701), (1954, 4.185483835175262)]"
25,"[(1089, 5), (1136, 5), (1208, 5), (1213, 5), (1617, 5), (2959, 5), (318, 5), (109487, 5), (122882, 5), (162, 5)]"
26,"[(1136, 4.318944439927089), (750, 4.182387904793321), (858, 4.172774386204511), (1089, 4.1689998725573565), (293, 4.124781783245836), (2571, 4.118766111139291), (112552, 4.103625754451833), (50, 4.093165004253404), (1196, 4.088473223558284), (1104, 4.087690403047206)]"
27,"[(318, 4.662049560569218), (527, 4.440149609054948), (750, 4.4174392388243255), (1136, 4.408540986760731), (1208, 4.399098632366372), (475, 4.398163459085154), (1203, 4.37183360649437), (4144, 4.3604548235620415), (908, 4.303434446883028), (898, 4.272167219479905)]"
28,"[(741, 3.8509214538183048), (928, 3.8187057991389155), (2692, 3.786645308311865), (27773, 3.7743939652319725), (1041, 3.7519987901458256), (3468, 3.7438942214465136), (904, 3.7428230607424395), (1204, 3.7340028803315612), (2078, 3.7207452301027955), (1673, 3.7070051411526284)]"
29,"[(2324, 4.897431132064328), (2571, 4.691034703029614), (1223, 4.684948648155985), (5618, 4.671996006673478), (7361, 4.670459508736664), (38061, 4.669775938974858), (57669, 4.651240907691667), (60069, 4.634218761598426), (56782, 4.616887119768383), (4226, 4.616350864500372)]"
30,"[(593, 5), (1136, 5), (1197, 5), (48516, 5), (720, 5), (4226, 5), (750, 5), (7361, 5), (3435, 5), (6711, 5)]"
31,"[(318, 4.912734308173865), (527, 4.8000519844056), (58559, 4.738558077366818), (27773, 4.675343101360459), (951, 4.649723016438414), (48516, 4.625075904096825), (50, 4.607022373980437), (904, 4.600373743000762), (112552, 4.583553756525045), (2019, 4.583053078924739)]"
32,"[(1089, 4.6571161004684445), (1221, 4.642494009473136), (3147, 4.638681145034362), (2571, 4.6173129862700275), (1193, 4.609691915518765), (5618, 4.586783784309918), (2959, 4.582410633822386), (1208, 4.578519565753116), (778, 4.553427584487893), (1732, 4.544550685476146)]"
33,"[(750, 4.71107468112908), (1136, 4.6241548288418235), (1208, 4.5717439646046785), (858, 4.5587874959808445), (260, 4.5570254429239965), (4011, 4.542055085742403), (3435, 4.529595137985265), (1228, 4.51468513371999), (1198, 4.504989894465163), (1197, 4.48965299542642)]"
34,"[(1208, 4.49353236116406), (76093, 4.490191791902906), (904, 4.488275078831234), (1272, 4.462705115322747), (1261, 4.437525583016646), (1204, 4.425284972244299), (750, 4.424880645542598), (2318, 4.416925087639959), (1104, 4.390131788755396), (951, 4.388652810692224)]"
35,"[(318, 5), (904, 4.927400342654386), (1208, 4.922940829738724), (1261, 4.9105781725272255), (1196, 4.908797494072254), (1193, 4.87461340799329), (2324, 4.8599792842730025), (260, 4.8349091442130385), (2329, 4.8208268602667035), (2959, 4.815365639634483)]"
36,"[(296, 3.6419812580277178), (2959, 3.5102452406774107), (912, 3.484741936107629), (750, 3.479148189228309), (1248, 3.4783906381191185), (1204, 3.477910718009332), (3451, 3.466282455294582), (3836, 3.463774416973773), (1261, 3.45796091191764), (1233, 3.4577121671093725)]"
37,"[(858, 4.933103980420394), (1225, 4.898234781879529), (48516, 4.86849764736292), (4973, 4.840587536463751), (1201, 4.827645507619031), (1276, 4.822113097223529), (1262, 4.814870331567381), (904, 4.810607708623007), (4993, 4.794262889091874), (56782, 4.75817165000724)]"
38,"[(260, 4.297915421637364), (858, 4.182845017169453), (750, 4.174756911937846), (4226, 4.1257375120932895), (3328, 4.114790132091816), (741, 4.102900042199148), (1223, 4.092467746923), (1242, 4.072759349429697), (951, 4.070683810058168), (2959, 4.0695865065091406)]"
39,"[(1208, 4.698369281214579), (318, 4.666131724401664), (4226, 4.6293487680624805), (1225, 4.6289697868649675), (1267, 4.6247729782082505), (4973, 4.618125416931201), (48516, 4.575963713429939), (2959, 4.562716066693757), (1233, 4.5460427182999315), (1206, 4.519787266616372)]"
40,"[(527, 5), (260, 4.9144558681564705), (1204, 4.835278696190188), (2324, 4.828516927240508), (4973, 4.815831949531086), (7361, 4.810354583513618), (2858, 4.774832106995957), (2571, 4.759148024735605), (1223, 4.738748733565201), (1248, 4.735668809990128)]"
41,"[(318, 4.593710990237226), (904, 4.110760732789282), (527, 4.084210970570057), (1104, 4.0084039638310545), (306, 3.9871780939282355), (858, 3.960495072379551), (1080, 3.9347645151169206), (441, 3.931416269615387), (903, 3.921105933948793), (2924, 3.91308369532753)]"
42,"[(4878, 4.961486910182378), (4973, 4.819937456750786), (1237, 4.742476346240769), (1276, 4.716063589423512), (1172, 4.698532436598149), (1283, 4.689743248812557), (1250, 4.679370930734361), (38061, 4.647736082866999), (4011, 4.6432136724607185), (954, 4.622252406084979)]"
43,"[(50, 5), (163, 5), (441, 5), (593, 5), (608, 5), (919, 5), (923, 5), (940, 5), (954, 5), (1080, 5)]"
44,"[(318, 4.499528230541292), (2959, 4.470126700033627), (1704, 4.450790033372581), (922, 4.3973494952644545), (858, 4.390090403221114), (1221, 4.38802924013502), (457, 4.385010681990057), (58559, 4.3719023384877564), (1223, 4.369547968494013), (1204, 4.368765053776354)]"
45,"[(3037, 4.890499615337268), (8132, 4.873694046613249), (318, 4.866837366208167), (47, 4.833892898740047), (112552, 4.82363046946647), (1089, 4.802609029852107), (79132, 4.77638890120478), (80489, 4.771575149644074), (1235, 4.765281805525972), (1252, 4.761609443882876)]"
46,"[(260, 5), (1196, 5), (1213, 5), (750, 5), (858, 5), (2019, 4.974079188736114), (1136, 4.9647103965593224), (48516, 4.936377269782949), (1233, 4.931483413845548), (1208, 4.9116227633994844)]"
47,"[(904, 3.950400651762436), (1242, 3.891623445809958), (2078, 3.8754711796440033), (56782, 3.8639207719847937), (1584, 3.8021373155556835), (2324, 3.7883621465146002), (1719, 3.7807669718869645), (8132, 3.7741451185297983), (1252, 3.7571486755623265), (5617, 3.7521493550725706)]"
48,"[(318, 4.816395170202456), (750, 4.8037023826023635), (48516, 4.793090284447058), (904, 4.766973637676674), (1197, 4.745645452274652), (56782, 4.733593984155883), (296, 4.7270963560269195), (7361, 4.704985646458223), (858, 4.702117393253897), (50, 4.672102490525917)]"
49,"[(2324, 4.682172537167892), (1197, 4.657578014807266), (1198, 4.63798094191814), (1204, 4.620586938084086), (2959, 4.593730609104201), (1235, 4.582114160060195), (1207, 4.558100246482647), (1237, 4.550345613025089), (922, 4.544698422604417), (1223, 4.543726643239621)]"
50,"[(260, 3.8313180540071485), (1197, 3.520122017762126), (1196, 3.51996797120378), (1172, 3.5173127171088923), (50, 3.5160356840481493), (1210, 3.470542750411664), (1193, 3.4634809469086183), (527, 3.4613114990979987), (1178, 3.4428011001372876), (904, 3.430036500936289)]"
51,"[(1240, 5), (2288, 5), (750, 5), (541, 5), (4973, 5), (146656, 5), (4642, 5), (1252, 4.994370134535654), (115713, 4.945580260089999), (5995, 4.934139356282648)]"
52,"[(912, 5), (750, 5), (922, 5), (78499, 5), (3275, 5), (1104, 5), (1041, 4.999038730260278), (1261, 4.975872092216266), (1283, 4.966832326130865), (1617, 4.964317714035139)]"
53,"[(1, 5), (6, 5), (47, 5), (50, 5), (110, 5), (223, 5), (235, 5), (260, 5), (296, 5), (356, 5)]"
54,"[(912, 3.860268142518576), (1204, 3.843467762292274), (1197, 3.8338054123639367), (904, 3.80831379220529), (898, 3.7702991918791073), (4973, 3.765155099191688), (1248, 3.756005936709925), (1104, 3.747433511840098), (1148, 3.7421190572617467), (2502, 3.728585547266647)]"
55,"[(3578, 3.934691136306252), (318, 3.9342720722648257), (260, 3.91783109246659), (899, 3.9093148032705143), (904, 3.880239489984325), (356, 3.849836123803205), (858, 3.848628242522658), (2716, 3.8447667066478495), (1198, 3.8333215468084774), (1199, 3.825147838488242)]"
56,"[(1104, 4.736064832220896), (1204, 4.709899125683632), (3275, 4.693856285015365), (922, 4.6889589159961735), (1198, 4.6816563693635915), (2160, 4.666825466271076), (58559, 4.653395505270433), (899, 4.626751342015294), (908, 4.621689448457557), (912, 4.603151387090329)]"
57,"[(4973, 4.617895579970674), (2959, 4.585615711432966), (4993, 4.574636411868703), (1217, 4.543381762258384), (4226, 4.541267361331406), (7153, 4.5326270425671575), (1233, 4.4873974193600965), (318, 4.472393466035193), (4878, 4.459427501625824), (5952, 4.429415483786552)]"
58,"[(858, 4.908928938319686), (1197, 4.897241248265436), (260, 4.858548118540971), (1104, 4.856162053877828), (1213, 4.841031395814209), (608, 4.828667119526004), (922, 4.823709175369334), (1247, 4.816389467291563), (593, 4.808490984944518), (1210, 4.797676632782792)]"
59,"[(1276, 5), (1248, 5), (3451, 4.995844326439263), (1261, 4.972356669577095), (1089, 4.971747279421509), (7153, 4.967230300212235), (951, 4.961134229894222), (910, 4.943634048393413), (3836, 4.926778254051742), (318, 4.919911099334363)]"
60,"[(1104, 4.454843950843575), (1204, 4.429651940750708), (3275, 4.416428272266203), (1258, 4.407675450548402), (922, 4.389446154583672), (1223, 4.380081568201639), (916, 4.3668999567013635), (1225, 4.365669456043694), (112552, 4.364286280998029), (7153, 4.362392854775953)]"
61,"[(2324, 4.606226411568719), (858, 4.573467863382479), (4973, 4.5327312027855715), (2959, 4.508511492507328), (3275, 4.500877449357824), (741, 4.493466601816346), (1223, 4.491258826252702), (1197, 4.483776668804934), (1204, 4.477752687064459), (750, 4.468884532850204)]"
62,"[(1213, 4.851416753311371), (4226, 4.7408836125935006), (912, 4.727455655979267), (1247, 4.723682883380801), (3451, 4.721214649776854), (50, 4.707384144009944), (608, 4.698815464806332), (1223, 4.697435687367337), (1242, 4.695362700838819), (922, 4.693741526087199)]"
63,"[(4973, 4.38486609191148), (3083, 4.373043609922475), (1249, 4.34753037388261), (56782, 4.344474509609903), (6711, 4.3373271222978635), (3275, 4.334286478746103), (2019, 4.319045648003765), (2580, 4.310197356479097), (7371, 4.308291974954967), (1233, 4.292861046638596)]"
64,"[(58559, 4.552142189496494), (1233, 4.548584055885924), (1249, 4.540729137382702), (79132, 4.534113652931728), (922, 4.525136075531106), (1230, 4.512208186780039), (3435, 4.507249633701101), (750, 4.504925303578897), (48516, 4.489212229126299), (1278, 4.486600197963389)]"
65,"[(1223, 4.538619367628519), (1197, 4.531903216926408), (1213, 4.460758409743697), (8132, 4.451631232876533), (356, 4.445066054795766), (457, 4.443843079766043), (1270, 4.4297059708897475), (750, 4.4166556515746995), (2858, 4.411786800516732), (1198, 4.402767746332728)]"
66,"[(904, 4.853426074487376), (4973, 4.845635989330269), (56782, 4.836041928774907), (858, 4.817862900921459), (48516, 4.792931088072122), (1193, 4.779654656897847), (1204, 4.766781762068207), (3083, 4.765335986712621), (49272, 4.739465360174976), (1237, 4.7356425136591564)]"
67,"[(1237, 4.611823817023859), (5618, 4.558287067602982), (1193, 4.514575660069244), (1204, 4.457606291092633), (1203, 4.434498352138815), (1884, 4.423397399488279), (922, 4.41005293666694), (1283, 4.390348436966072), (1197, 4.389049251686978), (1262, 4.370410360764017)]"
68,"[(922, 4.3752448640641175), (3037, 4.364036555928155), (1230, 4.2702383943099775), (134368, 4.264941305597536), (733, 4.243641063990026), (38038, 4.241327253674958), (7981, 4.236261896873887), (5026, 4.236077832441038), (1303, 4.23418610493665), (175, 4.229199380292506)]"
69,"[(2959, 5), (48516, 5), (58559, 5), (2324, 4.988463666745545), (527, 4.950727639878278), (951, 4.92438730096681), (78499, 4.916997415156768), (1262, 4.916090899613452), (1235, 4.906809760228062), (4878, 4.90174512260339)]"
70,"[(2959, 4.923117082408575), (50, 4.885715842427741), (1237, 4.819331950069232), (48516, 4.7939631312021875), (5013, 4.781045072883654), (1249, 4.776335281598542), (2160, 4.770122738436317), (5690, 4.751153800534367), (106782, 4.741621410301963), (923, 4.73098637236038)]"
71,"[(904, 4.633499024972863), (951, 4.555622505696746), (7361, 4.543144252818656), (1261, 4.541366024807232), (142488, 4.537882285992659), (912, 4.5355572104025565), (1204, 4.503025173972154), (1233, 4.500997315201799), (1884, 4.497966094893541), (1237, 4.470675750122292)]"
72,"[(4011, 4.779610841174957), (2324, 4.773373271875997), (1208, 4.744485170432991), (3030, 4.714279086829043), (1223, 4.713747829429923), (1213, 4.69766307802884), (1199, 4.684306557533189), (750, 4.679781545267922), (904, 4.677184256718298), (1204, 4.664432474218423)]"
73,"[(47, 4.615340062605911), (930, 4.609394366139313), (2959, 4.592681013173739), (1198, 4.579222195825899), (293, 4.556721801846681), (3468, 4.519380188524167), (750, 4.513268105128272), (7361, 4.502466133945193), (2019, 4.482961903701541), (3972, 4.48185845836416)]"
74,"[(922, 4.893527734575788), (1104, 4.862831833616551), (5618, 4.800620506205842), (142488, 4.792139391277307), (1089, 4.774360026118883), (898, 4.773272511692665), (741, 4.770335242389552), (1225, 4.76859095580519), (4011, 4.7622681966677485), (1233, 4.757381764372494)]"
75,"[(1233, 4.155479616010212), (904, 4.104241048193803), (1201, 4.088877566823602), (750, 4.0587868642370095), (6857, 3.973980155807536), (930, 3.960762884732895), (1252, 3.9472583761456583), (1104, 3.936359887061133), (56782, 3.899234714332793), (1276, 3.89122663581456)]"
76,"[(1199, 4.090297722873887), (7361, 3.9992258226585147), (1193, 3.9098785082817615), (1203, 3.8115098954128306), (912, 3.8079261146759884), (3578, 3.792280863737349), (527, 3.7844973281264207), (44555, 3.7715299650622307), (8949, 3.761110291467329), (1945, 3.7522913952042383)]"
77,"[(318, 4.563555147397416), (2959, 4.555674910851658), (904, 4.499857863723767), (2160, 4.425243155202494), (2542, 4.417580026920384), (1262, 4.416506046470097), (1272, 4.4060647939319155), (4011, 4.4059332667402655), (933, 4.398510675598223), (750, 4.368318217929814)]"
78,"[(4226, 4.1965008663316326), (1223, 4.088187170481467), (923, 4.066721601312789), (1201, 4.047049249188318), (50, 4.044778351571214), (57669, 4.043024870763498), (1248, 4.035967592638036), (3275, 4.020656092969792), (2959, 4.020076827720956), (2324, 4.018957337250897)]"
79,"[(1201, 4.812344734524048), (50, 4.784415398449652), (1204, 4.7814372295250935), (922, 4.744980676489516), (1208, 4.7287872803791), (1213, 4.717160194989436), (356, 4.712521496398084), (720, 4.698194549337117), (750, 4.6926300518454545), (1252, 4.686604506302043)]"
80,"[(1223, 4.941707940160209), (2324, 4.895981986140098), (5690, 4.887568249529693), (750, 4.860222397330924), (4973, 4.857573834787175), (951, 4.854201472432384), (1261, 4.8534273744663565), (904, 4.838309415503904), (1704, 4.818114224379686), (953, 4.808444348957306)]"
81,"[(912, 3.899626267115121), (858, 3.8995969475020065), (1225, 3.7666485690731792), (1204, 3.75331049805038), (2959, 3.749387626002098), (1222, 3.741908927627549), (1136, 3.7296504155174106), (4011, 3.7215215222666727), (908, 3.7202610026208376), (2160, 3.7164628367818087)]"
82,"[(2324, 4.534459345048672), (899, 4.500938429409109), (1223, 4.4852614377278), (1248, 4.43609844224702), (318, 4.402929672631751), (1104, 4.387851136227898), (1704, 4.357666741092554), (6016, 4.320548766825392), (3147, 4.299537343568441), (3275, 4.295738387184574)]"
83,"[(296, 4.506816483944183), (2959, 4.286589490125746), (1233, 4.079778809749169), (1104, 4.047035504422153), (1193, 4.042369073639549), (260, 4.031166197002868), (904, 3.9848553467739785), (50, 3.9789432385323416), (2160, 3.949291608997405), (2019, 3.9424528986805245)]"
84,"[(56782, 4.439626521397641), (1204, 4.382680102496168), (2858, 4.381473851415517), (3429, 4.369356703905036), (1954, 4.350913312731497), (720, 4.34676559754524), (2324, 4.316049389488142), (1148, 4.314370145921611), (1250, 4.312744111954962), (1248, 4.3123641278159175)]"
85,"[(912, 4.655526875695849), (608, 4.580605666565915), (1136, 4.562240512224735), (3429, 4.503296380867025), (7361, 4.502684103358171), (1217, 4.482954384285059), (1199, 4.472710172902271), (1208, 4.45078019967462), (5618, 4.44650014731946), (750, 4.443566777944972)]"
86,"[(922, 4.603026584486914), (1104, 4.600836506157786), (898, 4.586435175879228), (27773, 4.57173152136092), (48516, 4.521050599559664), (1217, 4.499697769448835), (2324, 4.4937100006121655), (926, 4.482663763386661), (56782, 4.46144496443805), (1262, 4.461425182513167)]"
87,"[(1207, 4.743766876662425), (318, 4.67208538248582), (741, 4.6458477517691845), (1208, 4.616587274603555), (898, 4.615380001002986), (922, 4.6152740640119525), (1104, 4.611771632768066), (1213, 4.598712152150064), (1276, 4.584428174161293), (1198, 4.5751315634392755)]"
88,"[(1089, 4.714884102942593), (750, 4.634486571656209), (541, 4.620549589792115), (296, 4.620400084446575), (47, 4.603564475719988), (1201, 4.593860732657907), (1204, 4.579727840967208), (1252, 4.5693535488558314), (1276, 4.559181784491392), (1213, 4.558902045359419)]"
89,"[(1206, 5), (3363, 5), (7076, 4.912041863438531), (47, 4.9073600285014045), (1527, 4.904998817649483), (27611, 4.887392820556598), (55820, 4.87604113049371), (3578, 4.871573666871303), (1200, 4.854133252363994), (8957, 4.842640563195717)]"
90,"[(750, 4.946367933057309), (858, 4.884812236618238), (1276, 4.850399756828532), (2858, 4.8396339692738355), (1136, 4.828013626708276), (2571, 4.8221340135699355), (56782, 4.817804534005296), (7153, 4.786896405167308), (527, 4.783413647661462), (78499, 4.777750386157593)]"
91,"[(2858, 4.606900419677501), (3451, 4.395378002812187), (51255, 4.340688091329183), (527, 4.335757656609618), (1212, 4.316605589651443), (599, 4.305367301547348), (720, 4.305097323658354), (104879, 4.3016074627424885), (7371, 4.257528206810218), (2300, 4.256732564005718)]"
92,"[(260, 5), (318, 4.9387779122253646), (1198, 4.9222575085068305), (750, 4.8923116959118165), (296, 4.868897171081199), (50, 4.853545122031559), (1233, 4.791572875623862), (1221, 4.788480620027274), (1104, 4.768306784616183), (2959, 4.767639813263169)]"
93,"[(1089, 5), (1136, 5), (1197, 5), (1198, 5), (1208, 5), (1213, 5), (2329, 5), (904, 5), (1250, 5), (1288, 5)]"
94,"[(7361, 4.110815648064001), (1197, 4.10274228746262), (904, 4.0454962526138845), (1199, 4.044347546190749), (750, 4.0348038736280465), (858, 4.021685835111481), (1261, 4.010366726757663), (1204, 3.984485728062202), (2019, 3.97214486643367), (541, 3.9709738121400955)]"
95,"[(296, 4.9691651416303095), (750, 4.938675832743719), (1204, 4.928785177171448), (593, 4.883295232251452), (318, 4.877679235667048), (1197, 4.847955897163011), (527, 4.8359728716565495), (2858, 4.828961592914236), (2959, 4.7988029019057645), (50, 4.765705186826053)]"
96,"[(7153, 4.838352523748306), (4993, 4.820064557788321), (912, 4.715525643080321), (2160, 4.687436578768284), (541, 4.603292948994882), (1732, 4.573764144211163), (5952, 4.573015740792946), (904, 4.564620944822185), (1203, 4.56129257331611), (3836, 4.543705217499502)]"
97,"[(750, 5), (1223, 5), (1204, 5), (7361, 4.979386823300519), (899, 4.9517093638273275), (58559, 4.925370597773565), (904, 4.917373235787033), (60069, 4.9139243237769055), (48516, 4.899456690821505), (457, 4.8897315476442085)]"
98,"[(898, 4.6863883456271225), (1203, 4.634150329107342), (168252, 4.601701958073002), (318, 4.589854545461611), (3201, 4.581765270223779), (741, 4.580007417114765), (1196, 4.56812475613379), (1228, 4.563949127470101), (951, 4.561182510870461), (2571, 4.561150361407149)]"
99,"[(1198, 5), (1193, 5), (1252, 4.992303869638972), (1197, 4.971716652617961), (1089, 4.942678033691002), (541, 4.918755977693393), (750, 4.907446368282725), (1204, 4.906961809700922), (1387, 4.890981741768083), (7361, 4.890642841363727)]"
100,"[(1258, 4.7800382890151125), (1104, 4.7701274623299375), (2324, 4.708796315109617), (91077, 4.649417494553495), (898, 4.620580261076742), (105504, 4.596106181761495), (951, 4.58531720124687), (904, 4.579990174169778), (750, 4.5797762277631575), (922, 4.57313476166564)]"
101,"[(296, 4.872836723564077), (260, 4.8004384953190975), (318, 4.661380041982162), (1196, 4.633650406447953), (1221, 4.62433767195894), (858, 4.615743833979548), (1089, 4.589465791651686), (593, 4.584607002421613), (1225, 4.566399564743385), (527, 4.511283371193418)]"
102,"[(951, 4.324947597537974), (260, 4.313706081962697), (2019, 4.310230035234116), (858, 4.271155761154994), (50, 4.267171266878204), (750, 4.256422158169824), (1223, 4.243071515270332), (2959, 4.239453954526454), (1225, 4.2364260667292015), (34405, 4.233844100908911)]"
103,"[(589, 4.660832001265996), (778, 4.618289118391278), (904, 4.617398842388915), (1223, 4.611741545220759), (1178, 4.6027568056900074), (2019, 4.590062265291982), (1262, 4.536818628258031), (4878, 4.534870445983696), (1204, 4.5292766056215035), (720, 4.526119900569832)]"
104,"[(1204, 4.479331064966071), (953, 4.438198027135286), (898, 4.425770006261128), (926, 4.389810978559067), (1262, 4.376640061176287), (904, 4.363403975411735), (5690, 4.3499988320261185), (4011, 4.3409778959797), (31658, 4.339641130374695), (168252, 4.325341352022766)]"
105,"[(953, 4.965135939139293), (1223, 4.96125961982541), (1104, 4.936292642467412), (3451, 4.913119627056611), (866, 4.905419199665489), (1261, 4.884295152380035), (1267, 4.8810429849178645), (2398, 4.875309510855599), (4144, 4.8735846732081685), (1248, 4.873408528292826)]"
106,"[(48516, 4.990993500433761), (1204, 4.948320433429053), (899, 4.920421551651712), (296, 4.919066253740817), (1217, 4.894809987223024), (5690, 4.891309890017493), (2194, 4.886465234186062), (1196, 4.880868243663373), (1249, 4.8776857232013295), (527, 4.876936679690487)]"
107,"[(1223, 4.934227014300858), (1204, 4.891238694459165), (7361, 4.847952181446078), (750, 4.833560918479816), (2329, 4.804942980669445), (1197, 4.796657342687652), (260, 4.7550049505062235), (1617, 4.751153555788927), (1252, 4.744535199474858), (541, 4.740540629900019)]"
